135.70929951554538,568.8830220045243,1.9085488120862337,-1.3608453892957595,0.47312819428727754,0.3689798177002375,0.7798728170407819;91.52718409303249,776.0762365077287,1.1187571124902391,1.8326259822852626,0.6913313228498326,0.6395511530550245,0.6395511530550245
62.27908401703063,509.50440532933567,1.3345574123266017,0.6855052454415977,0.7561636457453216,0.6105570870876427,0.8074404138879752;61.13108239676636,511.9067628631214,2.2086836366938454,-2.456412516071743,0.6975122376450077,0.6450479447461945,0.6450479447461945
216.37613484855495,429.77340418876554,1.2863060576831122,1.0707495180989353,0.24048107900579233,0.17909537560997324,0.7447379076574231;76.39392161029764,461.15758916123235,2.17190271092684,-1.932766641384626,0.6371628917963192,0.5534923923269793,0.5534923923269793
71.50019293680312,421.29229759158903,1.7923133130383402,2.8316720468727836,0.6265624929853362,0.6180955131591352,0.986486615587443;38.10323575498063,418.37069379319576,2.0645617845690887,-0.17719290245867148,0.4653672356185339,0.44919940823638344,0.44919940823638344
121.09027744208176,473.6533405445379,1.6853457675328822,1.8402679107449582,0.45841262024016594,0.2330401114906637,0.508363210787199;57.2522893166743,450.4690428520033,1.934116103289314,-1.3124701611714518,1.0585337566335915,0.6990487459144106,0.6990487459144106
169.58038309604095,556.4621241998417,1.8695324164356935,-2.701600955148476,0.5231697686435474,0.4289199357397351,0.8198484726130502;82.39752854910301,429.8740430509848,1.6370012663218203,0.3919496753235566,0.6465929704206673,0.44979342930383526,0.44979342930383526
166.6536678684276,855.4734238192324,0.9313394138759438,-2.39353013862853,0.39253397478128976,0.19079808178461444,0.4860676885126248;119.2516143412711,925.2688766391097,1.172310209627361,0.8225056232378632,0.8764320216341243,0.5140126170073085,0.5140126170073085
224.88099209581952,472.56168334091586,1.2128036397097186,-2.3980440063257973,0.10243410924229232,0.0715232570878332,0.6982367261929892;146.9593591575586,466.274289507796,2.372439360434891,0.6677861986178079,0.7423472086086411,0.6051639153521237,0.6051639153521237
352.1079378074288,545.030117821942,1.7111864710565643,-1.9123974881192003,0.36129633053889015,0.2212535116192547,0.6123879290145152;98.98468811386847,687.5594911351308,1.0013853057002748,1.2315170239936704,0.7770583876126214,0.65685924902353,0.65685924902353
161.4945469388976,678.3341392035345,1.2222952545734664,-0.7072698450133438,0.3450759684449212,0.20783604212775011,0.6022906870749638;69.67539047612463,678.0744625496525,1.5317658634942157,2.527733043226322,0.7707072670337977,0.6056451787064032,0.6056451787064032
